CC(CN)CCC(=O)N(C)C(C)c1ccc(Cl)cc1 MolPort-030-830-181
CC(=O)N[C@]1(C)C[C@H](c2ccc(F)c(Cl)c2)O[C@@H]2C[C@H](C)CC[C@H]21 43281027
Cc1ccc(C(n2nc(C(F)F)c(CN)c2N)C2(C)CC2)c(C)c1 330092091
COc1ccccc1N1CCN(C(=O)CN2CCCc3ccccc32)CC1 MolPort-043-291-212
Cc1nn(C)c(Sc2ccc(Br)cc2)c1CNC1CC1 MolPort-020-579-955
CNC(C)(C#N)CC(C)SCc1cc(C)cc(C)c1 MolPort-026-196-340
CCc1c(C)n[nH]c1NC(=O)c1ccc(Cl)s1 331148307
COCC1(O)CCN(C(=O)C2CCCN2C2CCCC2)CC1 MolPort-039-504-238
COc1cccc(N(C)C(=O)c2cccc(Br)c2)c1 MolPort-014-864-932
CCN(CC1CCCCN1Cc1ccccc1)C(=O)[C@H](C)N MolPort-023-284-899
CCN(Cc1ccncc1)CC1CCCCC1N MolPort-013-901-686
CC1CC(C(=O)Nc2cccc(C(=O)N3CCCCC3)c2)CCC1=O MolPort-040-146-961
O=C(NC1CC(O)C1n1cccn1)c1cc2n(n1)CCCC2 MolPort-045-700-876
O=C(NCC1CCCCS1)c1cncc(C#CCO)c1 MolPort-023-518-452
CC(NC(=O)Cc1ccc(Cl)cc1)C1CC2CCC1C2 MolPort-009-510-666
CCc1c(NC)ncnc1Nc1cccc(Cl)c1C MolPort-023-675-453
Cc1nc(CN(C)C(=O)CCc2cccc(N)c2)cs1 MolPort-023-619-220
COCC(C)(C)n1nnnc1-c1cc(Cl)ccc1N MolPort-033-603-938
NCc1cccc(NC(=O)c2ccc(Cl)c(Cl)c2)c1 MolPort-014-321-573
COCCN1CCCC(CNS(=O)(=O)c2ccc(C)cc2)C1 MolPort-009-588-574
O=C(O)c1ccc(CN2C(=O)C(=O)c3cccc(F)c32)o1 MolPort-026-119-866
CS(=O)(=O)c1cccnc1C1CCN(C(=O)C2CCCC2)CC1 MolPort-016-667-881
O=C1CCc2cc(C(=O)Nc3cc4c(cc3Cl)OCCCO4)ccc2N1 MolPort-004-222-838
CSc1ccc(C)c(C(=O)N2CCCCC2C(=O)O)c1 MolPort-013-306-585
C[C@@H](CO)NCc1cnc(C(C)(C)C)s1 MolPort-030-089-512
Cc1ccsc1CNC(C)c1ccc(Cl)s1 MolPort-011-501-538
CN1CCOC(CNCC2CCC(C(C)(C)C)CC2)C1 MolPort-033-432-218
CC(C)(N)C(C)(C)C(=O)c1cccc2cccnc12 MolPort-034-196-411
